date,open,high,low,volume,rsi_14,macd,cci,adx,stoch_slowk,stoch_slowd,willr,momentum,roc,ema8,ema20,ema200,Sto_rsi_fastk,Sto_rsi_fastd,adosc,obv,BB_upper,BB_middle,BB_lower,adj_close
2014-02-05,24900,25100,24680,14926650,28.38946024,-579.8517111,-185.1388633,31.38817559,2.404135112,6.468996804,-96.90721649,-1580,-6.003039514,25430.08893,25968.10656,28060.79489,0,-4.03E-14,-22027092.84,-518076900,26125.06771,25401.7863,24678.50488,24740
2014-02-06,24900,25340,24800,15197450,36.42119638,-572.6157648,-110.469592,31.92850065,17.12701402,8.334091251,-73.40425532,-1300,-4.909365559,25374.51361,25893.04879,28032.13027,100,33.33333333,-19783563.04,-502879450,25838.14507,25220.22598,24602.30689,25180
2014-02-07,25500,25580,25260,9943600,41.55524539,-534.8939749,-47.92139078,31.64559197,42.43565599,20.65560171,-56.38297872,-1060,-3.990963855,25402.39948,25855.61558,28006.93494,100,66.66666667,-15485313.29,-492935850,25713.36605,25145.64781,24577.92957,25500
2014-02-10,25420,25620,25240,7799650,42.18372682,-496.0533249,-39.02836648,31.25500657,71.23719464,43.59995489,-54.25531915,-440,-1.69361047,25432.97737,25825.55695,27982.38833,100,100,-10882405.02,-485136200,25768.94472,25158.84309,24548.74146,25540
2014-02-11,25620,26300,25440,12684000,51.69379141,-405.7245726,48.65417376,29.05453787,87.49233867,67.0550631,-18.08510638,80,0.306044376,25607.87129,25863.12295,27964.85212,100,100,-4725119.248,-472452200,26271.67111,25300.27212,24328.87312,26220
2014-02-12,26620,26620,26100,10027400,50.638482,-336.7123072,102.9147721,27.61918665,86.72582124,81.81845152,-24.74226804,300,1.160990712,25726.12211,25889.4922,27946.69439,88.90323619,96.30107873,-4476357.936,-482479600,26302.45437,25503.09462,24703.73488,26140
2014-02-13,26000,26400,25800,5838450,48.25165555,-293.1646656,73.96528705,25.67878816,73.62067169,82.61294387,-34.02061856,300,1.16913484,25778.09498,25896.20723,27926.92629,0,62.9677454,-4834571.678,-488318050,26288.18483,25688.66502,25089.14521,25960
2014-02-14,25920,26160,25840,6220750,49.11267549,-250.9189102,68.67579909,23.87698956,60.7740086,73.70683384,-30.92783505,420,1.640625,25831.85165,25907.99701,27907.9519,36.07383944,41.65902521,-4294190.954,-482097300,26309.37623,25837.17288,25364.96954,26020
2014-02-17,25840,26120,25600,9386650,44.828616,-240.4879748,36.59179146,22.73153808,43.57651683,59.32373237,-47.42268041,260,1.022012579,25802.55128,25888.18777,27885.98223,0,12.02461315,-5520690.571,-491483950,26264.30788,25906.89495,25549.48202,25700
2014-02-18,25700,25980,25640,5910650,47.88820195,-213.6205698,44.14678387,21.66790456,35.98913405,46.77988649,-37.11340206,920,3.682946357,25824.20655,25889.31275,27866.22121,71.41791469,35.83058471,-4524915.202,-485573300,26228.44967,25937.35519,25646.2607,25900
2014-02-19,26000,26000,25600,6179750,46.49967789,-198.1133941,33.00047551,20.77333215,25.48188767,35.01584618,-42.26804124,1060,4.284559418,25818.82732,25880.80677,27845.66179,54.61725576,42.01172349,-3706196.624,-491753050,26164.59733,25936.35185,25708.10637,25800
2014-02-20,25800,25920,25620,9543300,45.36640648,-190.0879614,21.50837989,19.94265777,25.28011204,28.91704459,-46.39175258,540,2.144559174,25796.86569,25865.49184,27824.51093,0,42.01172349,-4046507.512,-501296350,26146.21438,25908.08836,25669.96234,25720
2014-02-21,26660,26660,26000,14346200,57.60597278,-111.4345544,128.2370914,19.67978041,46.92273136,32.56157702,-3.03030303,1100,4.31372549,25975.33998,25935.445,27812.32674,100,51.53908525,-83106.73818,-486950150,26640.42832,25969.47676,25298.52519,26600
2014-02-24,26680,26900,26420,7425050,56.98108935,-51.73248855,151.1111111,19.88540899,63.20478264,45.13587535,-15.31531532,1020,3.993735317,26105.26443,25994.92643,27799.86578,94.89456228,64.96485409,561458.0168,-494375200,26861.56935,26094.90384,25328.23833,26560
2014-02-25,26640,26800,26520,8785300,58.43767903,5.204827908,139.0423573,20.07634982,83.75423319,64.62724906,-10.47619048,460,1.754385965,26232.98345,26060.17153,27788.72284,100,98.29818743,1173433.779,-485589900,27095.33746,26254.15734,25412.97722,26680
2014-02-26,26740,26860,26500,12918050,60.36468708,62.51805501,129.4148586,20.37166961,84.07852564,77.01251382,-3.614457831,700,2.677888294,26367.87601,26134.44091,27779.28281,100,98.29818743,4970701.6,-472671850,27213.25994,26429.42322,25645.5865,26840
2014-02-27,26700,26840,26600,7891350,59.99026692,105.1136825,109.3722701,20.64589514,89.8335114,85.88875674,-4.819277108,860,3.312788906,26468.34801,26199.73225,27769.73771,80.56987034,93.52329011,8164650.791,-480563200,26815.80412,26589.52995,26363.25578,26820
2014-02-28,26740,26980,26640,14232350,62.01985349,150.0519811,111.4012185,21.19602766,95.47453704,89.79552469,0,960,3.689469639,26582.04845,26274.04346,27761.87962,100,93.52329011,13257500.39,-466330850,27023.50429,26735.7266,26447.94891,26980
2014-03-03,26720,26800,26420,12104150,53.28677606,145.2594574,50.2617801,20.93162079,68.46560847,84.59121897,-34.7826087,800,3.112840467,26563.81546,26295.56313,27749.3236,0,60.18995678,11905999.71,-478435000,27126.71223,26801.35704,26476.00185,26500
2014-03-04,26400,26580,26300,7900150,50.11997445,123.8948368,15.67614126,20.2889485,38.0952381,67.34512787,-49.27536232,400,1.544401544,26505.1898,26295.98569,27734.90247,0,33.33333333,7757065.367,-486335150,27274.09248,26774.74891,26275.40534,26300
2014-03-05,26700,26820,26600,7491500,54.48908397,129.6758909,59.04192363,20.27402889,19.46778711,42.00954456,-27.53623188,800,3.100775194,26526.25874,26324.93944,27723.60991,100,33.33333333,2970927.194,-478843650,27204.69954,26727.37365,26250.04777,26600
2014-03-06,26580,26580,26200,8616750,53.15205824,126.3456525,10.41496041,19.03893812,28.38109603,28.64804041,-33.33333333,800,3.110419907,26524.86791,26343.51663,27711.63369,69.39820969,56.4660699,2618772.622,-487460400,27121.66586,26675.52687,26229.38788,26520
2014-03-07,26780,26780,26580,7548650,56.85721416,143.0373956,61.19682094,18.38552696,59.56389173,35.80425829,-14.49275362,180,0.676691729,26581.56393,26385.08648,27702.36371,100,89.79940323,4638482.332,-479911750,26969.79315,26658.9234,26348.05365,26780
2014-03-10,26400,26600,26340,8657600,50.56297134,124.1715259,-11.83098592,17.11733496,55.61069755,47.8518951,-42.02898551,-160,-0.602409639,26541.21639,26386.50681,27689.40486,0,56.4660699,3559751.896,-488569350,26958.33792,26627.52075,26296.70358,26400
2014-03-11,26400,26540,26180,9079800,51.17568164,111.166397,-49.84773952,16.25967061,55.47715054,56.88391327,-39.70588235,-240,-0.899550225,26518.72386,26391.6014,27676.97297,9.734456084,36.57815203,4078851.394,-479489550,26854.92638,26585.28959,26315.65279,26440
